label,label_noisy,city,ground_elevation_m,pressure_hpa,pressure_delta_hpa,pressure_variance,altitude_change_m,pressure_relative_to_surface_hpa,mag_variance_total,magnetic_field_mean,magnetic_field_delta,gnss_accuracy_m,gps_accuracy_delta,gps_lost_ratio,time_of_day,weather_condition
underground,False,OPO,156.5,998.023,-0.1944,0.141886,-3.285,3.258027412174215,0.421838,72.2053,-2.6138,63.8,37.82,0.985,afternoon,clear
street_level,False,LIS,72.6,1003.882,0.0586,0.023388,-0.286,-0.7505070933309526,0.062843,49.3269,0.4411,16.56,5.85,0.161,afternoon,overcast
underground,False,LIS,22.4,1011.15,0.0774,0.090059,-1.249,0.5666964566624983,0.436864,68.1038,-7.9538,119.27,68.91,0.844,afternoon,clear
street_level,False,OPO,120.8,998.095,0.1343,0.002142,-0.551,-0.8567715960192572,0.046533,53.0075,2.0886,10.46,0.65,0.035,afternoon,rain
street_level,False,OPO,4.4,1012.263,-0.0856,0.020239,-1.139,-0.46262984868940293,0.046062,67.2479,1.1271,17.14,4.73,0.132,morning,rain
street_level,False,OPO,125.9,997.247,0.0612,0.006673,0.875,-1.1055803084236686,0.082665,43.6739,-0.2809,5.52,2.71,0.004,afternoon,clear
street_level,False,LIS,30.6,1011.405,-0.0142,0.024193,3.257,1.7961420119460172,0.034696,34.7561,1.3563,7.03,11.44,0.049,morning,overcast
street_level,False,LIS,59.1,1005.759,0.0652,0.050643,-1.063,-0.4703676581966647,0.000438,69.1428,-0.2637,3.33,2.48,0.036,afternoon,clear
underground,False,LIS,2.9,1014.404,-0.1626,0.037393,-3.34,1.4996380936782998,0.449884,77.1404,28.5611,132.41,71.51,0.892,night,clear
street_level,False,LIS,94.3,1002.933,0.1618,0.010778,1.114,0.8619895349261242,0.033807,55.1649,-8.8788,9.6,1.39,0.026,afternoon,clear
street_level,False,LIS,23.0,1013.19,0.0087,0.018179,1.32,2.678029231020446,0.009894,46.9853,7.9148,25.95,10.14,0.052,evening,clear
street_level,False,OPO,54.5,1005.935,0.2039,0.02465,-0.236,-0.8390626907620344,0.047858,69.6446,-2.7342,15.42,4.92,0.018,afternoon,clear
street_level,False,OPO,24.7,,-0.0265,0.03656,-1.029,,0.032508,72.533,1.3169,9.52,2.22,0.0,night,clear
underground,False,LIS,118.3,997.406,-0.3205,0.008206,-0.643,-1.839624152099077,0.405225,62.9103,-4.7507,52.55,67.49,0.803,afternoon,clear
underground,False,LIS,71.9,1005.728,-0.2766,0.078245,-4.054,1.0127550581025844,0.387724,57.2878,3.8746,37.7,23.05,0.971,afternoon,clear
street_level,False,LIS,111.5,999.592,0.1103,0.028381,0.384,-0.4533404953066338,0.015988,45.1472,-2.4666,6.43,9.51,0.122,afternoon,overcast
above,False,OPO,29.4,1010.281,0.1489,0.058257,0.856,0.5295989350729542,0.091563,66.4845,5.945,22.36,8.63,0.166,afternoon,overcast
street_level,False,LIS,21.7,1009.934,-0.0678,0.019845,-0.779,-0.7325314776735468,0.128784,44.5205,3.8767,24.34,11.35,0.079,morning,clear
street_level,False,OPO,16.3,1011.065,0.0194,0.013762,-0.557,-0.24380597502727142,0.006365,39.1213,3.5442,9.54,3.05,0.045,night,clear
street_level,False,OPO,121.2,997.691,-0.2551,0.016883,-1.142,-1.2137632069735673,0.007392,38.5694,-4.3639,23.39,8.92,0.042,afternoon,overcast
underground,False,OPO,10.8,1012.847,-0.1867,0.097289,-2.107,0.8836059831081684,0.248506,83.321,-20.4767,154.74,34.29,0.851,evening,overcast
street_level,False,OPO,35.3,1009.082,0.2467,0.011937,1.468,0.031242009202856025,0.042843,27.9312,-1.2337,23.67,8.35,0.01,evening,clear
underground,True,LIS,79.4,1001.676,-0.0267,0.003194,0.09,-2.1531224843470227,0.027791,51.6854,3.8126,,3.17,0.009,afternoon,overcast
street_level,False,LIS,109.6,998.711,0.056,0.033294,-1.295,-1.55790502769878,0.070691,34.4887,4.7477,2.31,1.76,0.013,morning,clear
underground,False,LIS,110.4,1003.447,-0.1871,0.141047,-3.622,3.272233497950765,0.813116,162.0196,-16.446,193.16,42.91,0.835,morning,clear
street_level,False,LIS,117.7,998.368,-0.0357,0.051798,0.404,-0.9481616268619746,0.035282,39.4869,2.0502,2.59,1.93,0.046,night,clear
above,False,OPO,0.1,1010.554,-0.0883,0.107428,3.177,-2.684079481885533,0.038061,65.318,-3.2989,3.05,8.21,0.098,evening,clear
above,False,LIS,3.2,1010.945,0.1102,0.043613,2.549,-1.9236129714745402,0.158489,40.7334,8.2341,25.26,3.58,0.062,evening,overcast
underground,False,LIS,29.3,1009.742,0.0515,0.094977,-4.588,-0.021280563054006052,0.966939,128.6157,-1.931,,82.73,0.812,morning,overcast
street_level,False,LIS,37.2,1010.116,-0.2277,0.040879,-0.532,1.2907693246442022,0.037665,26.6002,-0.3137,2.3,2.86,0.037,morning,overcast
street_level,False,OPO,79.7,1004.802,-0.0768,0.029671,-0.391,1.008306153584499,0.045428,53.8928,-0.5967,12.82,10.17,0.009,evening,rain
street_level,False,LIS,20.8,1008.958,0.0612,0.03832,2.379,-1.815548893593359,0.108988,46.8333,-1.7662,12.99,5.14,0.0,afternoon,overcast
street_level,False,LIS,100.2,1000.088,0.0679,0.027195,1.069,-1.2876966358204527,0.06852,66.35,-0.6019,9.31,0.84,0.0,evening,overcast
street_level,False,OPO,69.8,1001.787,0.0417,0.02309,4.142,-3.1764993737559735,0.004961,38.975,0.8092,18.2,8.5,0.018,afternoon,clear
underground,False,LIS,27.0,1011.561,0.1475,0.025309,-5.178,1.5244524030387083,0.404033,114.578,14.8743,148.43,67.34,0.857,evening,overcast
street_level,False,OPO,31.0,1007.75,-0.4203,0.01965,0.119,-1.8113481008606414,0.081206,42.4264,3.2832,4.79,2.3,0.022,evening,clear
street_level,False,OPO,3.9,1012.216,0.0426,0.029827,-0.27,-0.5692036967177501,0.017687,42.324,-1.6117,8.78,3.39,0.027,evening,overcast
street_level,False,LIS,28.2,1010.682,-0.1237,0.024064,2.095,0.7880357330511742,0.04762,78.2959,1.4949,21.62,12.13,0.037,evening,overcast
above,False,OPO,49.5,1005.401,0.0317,0.07147,4.981,-1.965456944161133,0.186138,61.2394,-0.2207,49.78,18.93,0.473,evening,clear
street_level,False,OPO,25.2,1010.396,-0.1523,0.006845,-0.08,0.14553966182143085,0.039418,48.8457,1.377,8.61,2.62,0.012,morning,overcast
above,False,OPO,12.4,1009.488,0.2461,0.06001,5.423,-2.2849247168674083,0.149713,47.6692,4.9237,37.11,24.83,0.362,night,overcast
underground,False,LIS,24.0,1010.342,-0.0444,0.079177,-5.471,-0.05109400060075586,0.378342,55.183,-4.4688,101.74,13.02,0.959,morning,clear
above,False,LIS,12.6,1012.046,-0.0564,0.039691,4.078,0.29688142481722934,0.060994,39.4163,2.5777,23.6,18.12,0.268,evening,rain
underground,False,OPO,94.0,1005.306,-0.2785,0.086921,-5.602,3.199621698657552,0.249541,77.8461,-20.2459,168.33,68.05,0.872,afternoon,clear
above,False,LIS,85.9,1000.387,0.1474,0.067555,10.397,-2.6747818818358837,0.178562,52.418,2.8256,-0.57,9.35,0.249,afternoon,overcast
street_level,False,LIS,90.5,1002.543,-0.036,0.01477,-0.702,0.02390469521697014,0.083439,47.6878,-0.1217,3.96,3.19,0.0,evening,clear
underground,False,OPO,158.2,996.479,-0.116,0.113337,-2.625,1.9129605127185414,0.168944,53.7036,8.8573,79.36,17.41,0.906,morning,overcast
above,False,LIS,8.9,1009.901,0.1483,0.045769,1.498,-2.288622882544587,0.045141,41.8193,4.1444,14.33,8.77,0.142,night,rain
above,False,OPO,135.0,996.917,0.1382,0.052481,5.677,-0.3673277126328003,0.045249,70.8705,-7.2615,41.71,26.99,0.338,night,clear
underground,False,LIS,28.3,1010.741,-0.2562,0.107674,-6.461,0.8589167686245673,0.202202,65.5288,-12.1293,152.16,40.29,0.822,night,clear
street_level,False,OPO,32.9,1007.711,0.1762,0.02201,-2.813,-1.6247066662673433,0.031621,56.5627,-2.0066,14.77,11.01,0.04,afternoon,overcast
underground,False,OPO,21.6,1010.023,-0.053,0.076259,-4.47,-0.6554217421040676,0.216062,86.6253,-6.5654,176.86,56.42,0.941,night,overcast
street_level,False,LIS,20.5,1009.671,-0.0974,0.001542,1.946,-1.1382238836973784,0.097313,43.7911,-2.8799,4.89,3.46,0.0,afternoon,rain
underground,False,OPO,148.4,996.016,-0.0416,0.057192,-1.264,0.3026230938913841,0.853813,131.7953,9.9964,123.28,60.51,0.948,morning,rain
street_level,False,LIS,9.4,1012.152,0.1179,0.013634,-0.966,0.02191593234863376,0.010973,58.8146,-3.8602,9.55,12.01,0.02,evening,overcast
underground,False,LIS,13.4,1012.05,0.0917,0.08554,-0.488,0.39610039030844746,0.293909,101.4808,4.1345,125.94,81.17,0.944,evening,rain
above,True,LIS,15.4,1011.784,-0.1226,0.016348,3.011,0.3681085999174911,0.088064,,-0.8257,4.93,0.85,0.009,afternoon,clear
above,False,OPO,157.0,993.49,-0.1692,0.062524,4.53,-1.2164587222159753,0.167483,58.9049,-0.9358,49.59,9.76,0.395,afternoon,clear
street_level,False,LIS,29.1,1010.031,-0.009,0.045777,-1.233,0.24396002141133977,0.035576,41.3654,-3.5101,10.0,9.65,0.022,evening,clear
street_level,False,LIS,6.2,1010.636,0.1661,0.027505,0.723,-1.8751930094235831,0.019568,47.3321,-0.0979,8.99,3.04,0.0,evening,clear
underground,False,OPO,38.9,1008.787,-0.1565,0.054168,-2.836,0.16351419561965486,0.186407,55.6374,6.7219,117.16,24.32,0.94,morning,rain
above,False,OPO,50.6,1006.729,0.1544,0.014072,2.076,-0.5071003082855441,0.298784,40.588,7.3184,7.52,7.16,0.077,evening,clear
underground,False,OPO,22.4,1012.064,-0.0688,0.063063,-4.012,1.4806964566624856,0.500734,,2.7369,,24.15,0.984,afternoon,clear
street_level,False,OPO,20.9,1012.521,-0.0976,0.04378,1.712,1.7593424899736192,0.043798,50.0815,-1.8762,6.07,1.44,0.028,afternoon,clear
street_level,False,LIS,46.6,1006.539,0.1139,0.016228,1.697,-1.1712053126234423,0.012103,40.8483,0.8182,9.73,9.59,0.106,morning,overcast
street_level,False,LIS,98.2,1000.543,-0.0819,0.023793,-1.251,-1.0683421687102737,0.055427,63.9638,4.3041,7.77,0.17,0.034,afternoon,clear
underground,False,LIS,14.0,1012.414,-0.206,0.047958,-3.157,0.8315087334863165,0.666932,126.0977,-0.4868,209.51,46.98,0.988,night,overcast
street_level,False,OPO,6.2,1013.175,0.1651,0.013901,0.776,0.6638069905764041,0.043875,36.5183,-4.5035,3.23,3.96,0.012,morning,rain
street_level,False,OPO,19.5,1011.593,0.0831,0.043705,0.603,0.6648503885870696,0.052504,38.1899,-2.3837,5.55,4.4,0.0,afternoon,clear
underground,False,LIS,110.6,1001.114,-0.0993,0.029315,-2.689,0.9627667450056379,0.255352,73.5556,-24.0149,120.38,72.81,0.878,afternoon,clear
street_level,False,LIS,108.4,1001.408,0.0203,0.01911,1.308,0.9978705701034869,0.040337,35.2193,4.9257,14.62,4.39,0.038,evening,clear
underground,False,LIS,24.2,1011.593,-0.1257,0.122242,-2.239,1.2236796748607048,0.395649,76.0951,-35.6285,80.96,50.77,0.894,night,clear
street_level,False,OPO,64.8,1005.012,0.1031,0.034406,-1.641,-0.5428282766021084,0.000958,53.4103,-2.2682,24.5,6.28,0.11,afternoon,overcast
street_level,False,OPO,26.7,1009.894,-0.0637,0.001602,-1.892,-0.17819657479583384,0.094912,35.1536,3.6692,20.04,8.33,0.033,afternoon,overcast
street_level,False,OPO,80.6,1005.524,-0.1045,0.013866,-0.326,1.836584565153089,0.056406,48.851,-6.2588,2.73,3.79,0.0,morning,overcast
above,False,LIS,16.0,1008.338,0.225,0.066783,3.38,-3.0064998568913097,0.151995,55.9668,5.4228,16.87,31.23,0.495,night,overcast
street_level,False,OPO,33.8,1008.701,-0.0275,0.011614,-1.549,-0.5278414844063946,0.0108,33.0967,-2.3392,4.48,2.56,0.035,evening,clear
street_level,False,OPO,12.4,1010.493,-0.0778,0.027711,0.88,-1.2799247168674128,0.042455,31.3865,-3.2494,25.89,7.96,0.0,evening,overcast
above,False,LIS,76.4,1002.975,0.2171,0.02649,9.551,-1.2084776453973518,0.067887,41.9923,-1.3121,41.98,14.55,0.523,afternoon,clear
underground,False,LIS,29.3,1011.341,-0.1657,0.091845,-4.974,1.5777194369460403,0.294127,95.2804,-27.7366,,71.81,0.976,night,clear
underground,False,OPO,11.7,1013.087,0.0986,0.074534,-2.49,1.23074937595959,0.278446,91.7294,-12.4722,182.38,51.36,0.967,afternoon,clear
street_level,False,OPO,31.4,1009.079,-0.3882,0.005818,1.653,-0.4348404493741782,0.037638,36.6152,-0.5048,6.14,4.58,0.01,evening,clear
street_level,False,LIS,20.0,1010.058,-0.4261,0.003569,2.067,-0.810684998647389,0.05256,36.8424,-4.3388,6.96,0.75,0.028,morning,clear
above,False,OPO,33.1,1005.598,0.0673,0.055532,5.597,-3.713957870215154,0.06405,46.3934,1.71,12.41,9.45,0.065,evening,overcast
above,False,LIS,37.6,1006.69,0.0731,0.053684,2.021,-2.0877576638741857,0.14837,37.494,0.1463,25.57,10.71,0.414,morning,overcast
street_level,False,OPO,134.5,996.376,-0.1386,0.030998,-1.313,-0.9669932220552937,0.06182,57.4118,3.4867,8.37,1.36,0.035,night,clear
street_level,True,OPO,5.0,1011.432,-0.1103,0.038387,1.652,-1.222145856635393,0.28273,38.9716,2.5151,17.29,3.26,0.174,afternoon,overcast
underground,False,LIS,118.2,1000.638,0.1244,0.100369,-2.756,1.380619947876312,0.520128,67.7518,0.5255,178.07,70.27,0.839,morning,clear
street_level,False,OPO,158.6,995.799,-0.0421,0.01817,0.771,1.2797625192267787,0.062361,46.43,0.929,14.35,10.23,0.059,night,rain
underground,False,OPO,37.6,1009.857,-0.2518,0.084631,-1.506,1.0792423361257306,0.097696,71.0648,8.3895,158.57,26.31,0.886,night,rain
underground,False,OPO,9.7,1013.053,0.1626,0.116093,-1.026,0.9586375402247995,0.435788,106.2375,25.5559,36.66,62.39,0.817,evening,overcast
street_level,False,LIS,61.8,1004.974,0.2412,0.007527,-2.665,-0.9357926177809759,0.071382,47.9422,2.2493,6.77,9.87,0.05,night,clear
above,False,OPO,83.0,998.038,0.1027,0.052909,6.872,-5.3660613458897615,0.121723,63.1497,5.3592,18.86,,0.129,evening,clear
street_level,False,OPO,31.3,1011.471,-0.0122,0.025304,1.32,1.945282847345993,0.020029,59.9713,-2.0498,3.37,1.12,0.0,afternoon,overcast
street_level,False,OPO,87.1,1001.775,0.2057,0.044368,-0.631,-1.1451831551272562,0.081121,51.4494,0.0642,5.12,3.46,0.025,night,clear
underground,False,OPO,39.8,1009.641,0.1255,0.081254,-2.606,1.1243039698522352,0.419229,71.2927,21.6273,127.23,55.22,0.818,evening,rain
underground,False,LIS,4.5,1014.064,0.2457,0.138726,-1.558,1.3502845004005621,0.806748,129.3551,-11.3915,100.74,69.62,0.925,afternoon,clear
street_level,False,LIS,69.2,1004.066,-0.0231,0.016251,-0.046,-0.9684404774859559,0.019551,44.4814,-1.9634,7.23,3.99,0.03,morning,clear
street_level,False,OPO,21.0,1010.065,0.1417,0.027624,-0.028,-0.6847662663570873,0.033953,31.6852,0.9576,5.56,0.98,0.004,afternoon,overcast
street_level,False,OPO,80.9,1003.884,0.0107,0.011129,0.069,0.23200820174758974,0.033623,42.6545,-1.7617,6.34,0.58,0.02,evening,overcast
street_level,False,LIS,16.1,1011.289,-0.0123,0.02036,0.088,-0.04360175629381047,0.012413,52.6716,2.7122,24.0,8.3,0.073,evening,clear
underground,False,LIS,29.3,1010.878,-0.1039,0.129921,-9.118,1.114719436946075,0.018442,72.9821,12.8643,112.69,39.1,0.84,morning,overcast
above,False,OPO,13.6,1010.351,0.1301,0.057029,5.312,-1.2790962685646718,0.245416,72.0044,1.0468,19.92,17.87,0.07,morning,clear
underground,False,OPO,80.2,1005.544,0.1838,0.095293,-9.611,1.8093511048246,0.341069,102.8957,0.8339,59.84,29.17,0.829,night,overcast
underground,False,LIS,38.9,1010.27,0.2164,0.077348,-3.856,1.646514195619602,0.318441,81.1003,-21.2682,,46.19,0.997,morning,clear
street_level,False,LIS,109.5,999.955,-0.0026,0.005945,1.238,-0.32567296639274446,0.060231,50.9421,2.7478,0.48,4.36,0.007,morning,clear
street_level,False,OPO,59.4,1006.717,-0.0714,0.007008,-0.979,0.5231456927754152,0.040976,48.1721,2.3622,8.63,1.01,0.004,afternoon,clear
street_level,False,OPO,24.3,1011.203,-0.0451,0.009485,0.188,0.8455663028254321,0.05738,56.2309,2.0303,8.5,0.88,0.047,morning,overcast
street_level,False,OPO,97.1,1001.401,-0.1116,0.022554,-0.52,-0.3399708476068781,0.077697,53.4854,3.1661,13.54,6.52,0.046,night,clear
underground,False,LIS,19.8,1011.231,0.1896,0.107288,-1.382,0.33852957599572164,0.289719,72.0292,-2.967,75.72,40.9,0.872,evening,clear
street_level,False,LIS,72.7,1004.756,0.0529,0.009856,0.416,0.1353120431103889,0.00045,45.3026,-4.5589,7.04,2.98,0.057,evening,rain
street_level,False,OPO,154.3,993.002,-0.1333,0.019161,-1.768,-2.020474491304526,0.0725,,0.745,5.98,7.14,0.056,morning,overcast
street_level,False,LIS,29.1,1009.448,-0.0629,0.016454,0.841,-0.3390399785886302,0.077932,32.2025,4.618,18.23,15.02,0.115,afternoon,overcast
street_level,False,LIS,72.9,,0.0427,0.010691,-0.37,,0.02478,40.6004,-3.1537,7.06,4.36,0.046,evening,overcast
street_level,False,OPO,148.0,994.432,-0.1956,0.033118,1.309,-1.328235108735612,0.061381,75.5953,4.4526,3.15,3.08,0.01,afternoon,overcast
street_level,False,OPO,9.6,1012.389,-0.088,0.000251,0.474,0.2827304776839128,0.018867,37.0307,0.7416,5.02,1.91,0.016,evening,clear
underground,False,OPO,28.1,1011.731,-0.0653,0.07328,-7.332,1.8251545576999888,0.435292,74.9725,-5.1374,129.15,67.66,0.996,morning,clear
street_level,False,OPO,158.4,993.728,-0.0552,0.029782,1.94,-0.8146382087213624,0.011218,48.6645,-3.1225,3.53,3.38,0.018,evening,clear
underground,True,OPO,65.8,1006.455,,0.032924,0.44,1.0184653328464037,0.017589,69.3531,-4.1606,8.13,1.56,0.033,evening,rain
underground,False,OPO,0.7,1016.482,-0.177,0.090644,-3.521,3.315440681807104,0.729267,163.177,-16.4242,,41.63,0.889,afternoon,overcast
street_level,False,LIS,11.8,1010.907,0.0351,0.02435,-1.145,-0.9373465028808141,0.009703,46.2107,-0.934,8.79,1.63,0.029,afternoon,clear
underground,False,LIS,12.7,1013.152,-0.1984,0.180872,-2.109,1.4147842856069701,0.381034,115.1048,7.2949,,24.2,0.86,morning,rain
underground,False,OPO,5.2,1014.35,0.0654,0.093399,-1.97,1.7196810194203636,0.285188,64.7793,-19.9246,,45.04,0.829,afternoon,clear
street_level,False,LIS,21.2,1011.088,0.1521,0.03724,0.911,0.36201580129420563,0.026798,39.6909,-5.3355,4.69,1.72,0.033,afternoon,clear
street_level,False,OPO,91.0,1002.913,-0.2084,0.020812,0.277,0.4528746722774031,0.029551,36.822,-1.14,6.92,3.87,0.02,morning,clear
street_level,False,OPO,142.7,997.038,0.2878,0.019042,-0.691,0.6566854870931138,0.061057,33.8309,-0.1382,15.34,11.67,0.088,evening,clear
underground,False,LIS,50.4,1008.87,-0.1222,0.039057,-1.24,1.6101997399441643,0.359048,91.4247,2.5229,49.21,45.64,0.847,morning,clear
underground,False,OPO,4.8,1017.095,-0.139,0.030378,-7.144,4.417026706669844,0.430804,98.9138,10.3058,109.89,52.6,0.949,morning,clear
street_level,False,OPO,14.1,1011.63,0.0136,0.008504,-1.214,0.05940963396631105,0.085364,45.2943,-0.9336,3.38,3.94,0.016,afternoon,overcast
underground,False,LIS,25.4,1010.958,-0.1156,0.028183,-2.107,0.7313099812363362,0.202085,74.8942,-20.242,27.69,78.11,0.889,night,overcast
underground,False,OPO,74.1,1006.16,-0.1499,0.032934,-2.658,1.7047653540095098,0.762188,149.8071,3.9879,28.5,42.4,0.901,morning,overcast
street_level,False,LIS,13.4,1009.811,0.0307,0.017507,1.499,-1.8428996096914716,0.032968,49.9784,-0.2963,10.98,2.62,0.012,afternoon,clear
street_level,False,OPO,137.4,999.165,0.0256,0.026179,-2.51,2.1622187008865694,0.020322,30.9066,6.7285,6.58,3.67,0.039,evening,overcast
above,False,OPO,15.7,1008.937,0.254,0.048465,6.321,-2.44319499856158,0.188155,36.5122,2.6579,23.86,4.26,0.681,morning,overcast
underground,False,OPO,10.6,1015.895,-0.0952,0.08101,-6.918,3.9077947995890554,0.506523,100.8018,-13.527,45.8,79.67,0.979,afternoon,clear
above,False,LIS,109.6,997.38,0.0805,0.086341,5.672,-2.8889050276987973,0.160849,39.5052,-7.3165,26.44,16.81,0.461,evening,clear
above,False,LIS,18.6,1011.775,0.0483,0.054516,0.52,0.739805270457282,0.114783,42.9468,2.2714,9.42,12.73,0.123,afternoon,clear
above,False,LIS,29.4,1006.557,,0.04504,6.317,-3.1944010649269785,0.07956,49.0701,-0.7078,34.43,6.36,0.516,evening,overcast
underground,False,OPO,159.2,996.228,-0.1478,0.083544,-5.59,1.7789613995298623,0.32513,76.8541,24.1593,131.96,19.3,0.883,afternoon,clear
underground,False,OPO,20.4,1011.99,-0.1894,0.125677,-4.35,1.1688841731279354,0.292733,74.0925,25.2059,111.26,43.57,0.952,afternoon,clear
underground,False,LIS,26.2,1013.667,0.0994,0.011304,-7.971,3.535385666076877,0.411763,,6.6356,178.42,72.62,0.917,night,overcast
underground,False,OPO,37.0,1008.627,-0.2567,0.101587,-1.741,-0.2219680188688926,0.338832,71.0051,-0.6236,67.49,20.4,0.855,night,overcast
street_level,False,LIS,105.3,1002.399,0.0592,0.021275,1.887,1.6239485705798415,0.057436,38.3994,-3.5646,4.01,3.38,0.0,morning,rain
underground,False,OPO,31.5,1009.806,-0.1395,0.09719,-4.76,0.30403611418068976,0.585017,58.2333,-9.4721,32.94,77.41,0.889,evening,clear
underground,False,LIS,20.6,1009.375,-0.0744,0.047489,-1.097,-1.422332080427168,0.379193,81.6891,-15.9153,175.22,65.68,0.984,morning,overcast
street_level,False,LIS,10.9,1012.629,-0.1262,0.027722,-0.263,0.6775113647706803,0.042327,41.0386,-0.2552,8.71,4.26,0.026,evening,overcast
street_level,False,OPO,8.8,1011.2,-0.0183,0.024285,0.512,-1.0015310658028511,0.027834,53.2888,-2.4378,18.37,10.39,0.134,afternoon,clear
underground,False,OPO,38.4,1009.047,0.1363,0.083998,-1.33,0.3641816572794596,0.444806,55.0134,-5.5995,183.96,28.61,0.926,evening,clear
above,False,OPO,15.3,1011.569,0.1293,0.070981,4.298,0.14120951943584714,0.097113,49.4402,2.9045,24.7,4.02,0.345,evening,clear
underground,False,OPO,27.7,1011.306,-0.0949,0.06698,-1.374,1.3526284584858104,0.313538,75.3619,-6.4247,174.32,85.22,0.861,evening,clear
underground,False,OPO,32.6,1011.183,-0.1528,0.060104,-1.715,1.8116690918967606,0.139365,78.7051,1.9382,99.76,47.17,0.857,evening,overcast
street_level,False,LIS,7.7,1011.183,0.0455,0.017808,5.181,-1.1495303284161764,0.082601,49.764,5.9833,23.83,2.97,0.033,night,clear
street_level,False,LIS,4.4,1012.733,-0.0968,0.000769,2.507,0.007370151310510664,0.040338,54.1201,1.2235,10.61,14.62,0.067,afternoon,clear
underground,False,LIS,8.0,1012.24,0.2111,0.073045,-2.117,-0.05680157550386866,0.579732,84.9536,-0.2678,136.0,51.38,0.9,evening,clear
street_level,False,LIS,5.4,1012.849,-0.3429,0.024721,-1.476,0.24250733485041565,0.079788,35.0148,5.206,9.23,2.42,0.0,night,clear
above,False,LIS,4.3,1011.092,-0.2266,0.021611,1.233,-1.645544337949218,0.187535,59.7374,7.9437,43.38,14.18,0.318,evening,overcast
street_level,False,OPO,106.6,1000.881,-0.283,0.012694,-0.349,0.25899658035814355,0.076596,70.3637,2.02,2.6,0.59,0.017,evening,clear
underground,False,LIS,1.6,1015.302,-0.0292,0.116326,-2.297,2.242711461887552,0.536923,85.3706,4.8117,,39.01,0.929,night,rain
above,False,OPO,3.4,1012.438,0.0648,0.011498,5.274,-0.4067810491931141,0.092463,37.4476,-2.7188,39.37,30.55,0.389,night,rain
underground,False,OPO,63.1,1008.222,-0.267,0.108197,-4.36,2.4660406453050427,0.393047,122.2763,5.289,51.78,37.06,0.875,evening,clear
street_level,False,LIS,109.1,1001.13,0.1292,0.002612,0.473,0.8022538943436075,0.011844,34.9994,-0.2286,8.3,8.66,0.113,evening,clear
street_level,False,LIS,0.7,1015.492,-0.1487,0.019257,-1.354,2.3254406818070947,0.034022,,1.8089,10.45,2.77,0.0,night,clear
above,False,LIS,25.7,1009.595,0.1268,0.062971,6.445,-0.5960355883154307,0.120411,60.2383,-4.6364,43.52,,0.673,morning,overcast
street_level,False,LIS,7.4,1010.302,-0.1455,0.002586,-0.459,-2.0662603423654673,0.008077,32.5599,-0.5239,6.69,3.62,0.031,afternoon,clear
street_level,False,LIS,27.8,1008.611,-0.082,0.0115,0.758,-1.330489807035974,0.005089,38.1524,-4.1254,16.18,6.98,0.0,afternoon,clear
above,False,OPO,5.4,1009.995,0.0553,0.09017,3.247,-2.611492665149626,0.282976,43.5053,-3.1078,,,0.341,morning,overcast
above,False,LIS,11.2,1009.443,0.0684,0.062518,7.847,-2.472773330610039,0.158911,36.1737,1.1762,45.97,20.02,0.475,afternoon,clear
street_level,False,LIS,50.0,1007.194,-0.0297,0.034958,-1.177,-0.11320183656710014,0.02171,44.6901,1.7188,12.83,3.36,0.069,afternoon,overcast
street_level,False,OPO,29.7,1009.141,-0.0331,0.006392,1.123,-0.5747634090869269,0.032176,54.3382,3.3676,6.96,2.6,0.028,morning,clear
street_level,False,LIS,6.7,1012.51,0.1167,0.028757,-0.601,0.05836472080306976,0.025278,45.2998,7.183,8.32,0.06,0.03,morning,clear
above,False,OPO,27.6,1008.255,-0.1695,0.058108,2.388,-1.7102534157786522,0.000379,40.9331,-1.4477,8.31,2.87,0.16,afternoon,overcast
street_level,False,LIS,27.8,1009.438,0.073,0.009561,-0.336,-0.5034898070359759,0.007468,46.3058,7.5524,10.0,2.95,0.012,morning,overcast
street_level,False,OPO,98.6,1002.375,0.0145,0.001415,0.565,0.810791373652819,0.083082,44.8064,-1.9775,23.78,10.13,0.071,afternoon,clear
underground,False,LIS,4.4,1011.781,0.1417,0.121363,-1.908,-0.9446298486894875,0.36189,93.8916,0.4073,173.17,42.82,0.871,afternoon,clear
underground,False,OPO,110.2,1001.21,-0.0539,0.080729,-6.29,1.0116996971659091,0.347118,91.7295,-11.5773,111.99,57.47,0.928,morning,clear
street_level,False,LIS,28.9,1011.42,-0.0004,0.009598,2.525,1.609200046824867,0.034751,38.7156,3.6311,11.78,13.3,0.13,morning,rain
underground,False,OPO,3.5,1014.962,-0.0865,0.111143,-3.226,2.1291347016675672,0.259207,60.6053,-16.1646,138.67,67.01,0.984,morning,overcast
underground,False,LIS,43.4,1009.109,-0.2657,0.123359,-8.187,1.0193500132135114,0.526032,90.0258,2.137,119.9,70.49,0.801,afternoon,clear
above,False,LIS,11.2,1011.77,0.1064,0.077142,3.95,-0.14577333061004083,0.103123,37.7746,4.9545,23.45,32.88,0.497,night,overcast
underground,False,LIS,18.1,1011.918,-0.2008,0.076142,-2.646,0.8233308627136466,0.463153,80.8749,-11.2755,185.66,67.22,0.857,afternoon,clear
underground,False,OPO,9.7,1013.817,-0.2509,0.086519,-4.825,1.7226375402248095,0.265093,,5.318,101.45,20.6,0.863,night,overcast
underground,False,OPO,72.4,1004.661,-0.177,0.045639,-2.236,0.004854216636204001,0.351513,103.5483,-9.9509,48.02,46.0,0.929,morning,rain
